activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,3376504,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.52', 'le': '0.31', 'lle': '2.50', 'sei': '11.28'}",CHEMBL1210027,,CHEMBL1210027,6.98,0,http://www.openphacts.org/units/Nanomolar,927863,=,1,1,=,,IC50,nM,,104.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,104.0
,3376505,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)N1CC2(CCN(C(=O)Nc3ccc(F)c(F)c3)CC2)C1c1ccc(Cl)cc1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.58', 'le': '0.31', 'lle': '1.06', 'sei': '19.00'}",CHEMBL1210080,,CHEMBL1210080,6.76,0,http://www.openphacts.org/units/Nanomolar,927942,=,1,1,=,,IC50,nM,,174.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,174.0
,3376506,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)N1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.81', 'le': '0.31', 'lle': '1.16', 'sei': '19.28'}",CHEMBL1210081,,CHEMBL1210081,6.86,0,http://www.openphacts.org/units/Nanomolar,927943,=,1,1,=,,IC50,nM,,138.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,138.0
,3376507,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.42', 'le': '0.31', 'lle': '2.46', 'sei': '11.21'}",CHEMBL1210027,,CHEMBL1210027,6.94,0,http://www.openphacts.org/units/Nanomolar,927944,=,1,1,=,,IC50,nM,,115.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,115.0
,3376508,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.63', 'le': '0.27', 'lle': '1.65', 'sei': '9.91'}",CHEMBL1210027,,CHEMBL1210027,6.13,0,http://www.openphacts.org/units/Nanomolar,927945,=,1,1,=,,IC50,nM,,733.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,733.0
,3376573,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.70', 'le': '0.27', 'lle': '1.23', 'sei': '11.53'}",CHEMBL1210902,,CHEMBL1210902,7.51,0,http://www.openphacts.org/units/Nanomolar,929069,=,1,1,=,,IC50,nM,,31.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,31.0
,3376574,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.76', 'le': '0.27', 'lle': '1.26', 'sei': '11.57'}",CHEMBL1210902,,CHEMBL1210902,7.54,0,http://www.openphacts.org/units/Nanomolar,928973,=,1,1,=,,IC50,nM,,29.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,29.0
,3376575,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(Cl)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '14.04', 'le': '0.28', 'lle': '1.30', 'sei': '11.09'}",CHEMBL1210901,,CHEMBL1210901,7.22,0,http://www.openphacts.org/units/Nanomolar,928972,=,1,1,=,,IC50,nM,,60.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,60.0
,3376576,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3ccc(Cl)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '14.32', 'le': '0.29', 'lle': '1.33', 'sei': '10.92'}",CHEMBL1210900,,CHEMBL1210900,7.11,0,http://www.openphacts.org/units/Nanomolar,928971,=,1,1,=,,IC50,nM,,78.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,78.0
,3376577,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2cccc(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.88', 'le': '0.27', 'lle': '1.22', 'sei': '11.30'}",CHEMBL1210899,,CHEMBL1210899,7.36,0,http://www.openphacts.org/units/Nanomolar,928970,=,1,1,=,,IC50,nM,,44.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,44.0
,3376580,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cc(F)cc(F)c1)N1CCC2(CC1)C(=O)N(c1cncc(Cl)c1)C2c1ccccn1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '12.99', 'le': '0.25', 'lle': '1.47', 'sei': '8.01'}",CHEMBL1210835,,CHEMBL1210835,6.29,0,http://www.openphacts.org/units/Nanomolar,928893,=,1,1,=,,IC50,nM,,519.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,519.0
,3376581,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1cccc(N2C(=O)C3(CCN(C(=O)Nc4cc(F)cc(F)c4)CC3)C2c2ccccn2)c1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '12.96', 'le': '0.24', 'lle': '1.51', 'sei': '6.87'}",CHEMBL1209968,,CHEMBL1209968,6.13,0,http://www.openphacts.org/units/Nanomolar,928892,=,1,1,=,,IC50,nM,,732.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,732.0
,3376582,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,N#Cc1cccc(N2C(=O)C3(CCN(C(=O)Nc4cc(F)cc(F)c4)CC3)C2c2ccccn2)c1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.95', 'le': '0.26', 'lle': '1.98', 'sei': '7.40'}",CHEMBL1209968,,CHEMBL1209968,6.61,0,http://www.openphacts.org/units/Nanomolar,928891,=,1,1,=,,IC50,nM,,247.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,247.0
,3376583,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccc(F)c(F)c1)N1CCC2(CC1)C(=O)N(c1cccc(Cl)c1)C2c1cccc[n+]1[O-],,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '11.67', 'le': '0.23', 'lle': '1.17', 'sei': '7.32'}",CHEMBL1210767,,CHEMBL1210767,5.82,0,http://www.openphacts.org/units/Nanomolar,928890,=,1,1,=,,IC50,nM,,1498.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,1498.0
,3376584,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccc(F)c(F)c1)N1CCC2(CC1)C(=O)N(c1cccc(Cl)c1)C2c1cccc[n+]1[O-],,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '12.34', 'le': '0.24', 'lle': '1.51', 'sei': '7.73'}",CHEMBL1210767,,CHEMBL1210767,6.16,0,http://www.openphacts.org/units/Nanomolar,928804,=,1,1,=,,IC50,nM,,698.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,698.0
,3376608,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.36', 'le': '0.30', 'lle': '2.43', 'sei': '11.17'}",CHEMBL1210027,,CHEMBL1210027,6.91,0,http://www.openphacts.org/units/Nanomolar,927863,=,1,1,=,,IC50,nM,,123.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,123.0
,3376610,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)N1CC2(CCN(C(=O)Nc3ccc(F)c(F)c3)CC2)C1c1ccc(Cl)cc1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '14.91', 'le': '0.29', 'lle': '0.77', 'sei': '18.18'}",CHEMBL1210080,,CHEMBL1210080,6.47,0,http://www.openphacts.org/units/Nanomolar,927942,=,1,1,=,,IC50,nM,,340.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,340.0
,3376611,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)N1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '14.94', 'le': '0.30', 'lle': '0.78', 'sei': '18.22'}",CHEMBL1210081,,CHEMBL1210081,6.48,0,http://www.openphacts.org/units/Nanomolar,927943,=,1,1,=,,IC50,nM,,328.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,328.0
,3376612,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.35', 'le': '0.30', 'lle': '2.43', 'sei': '11.16'}",CHEMBL1210027,,CHEMBL1210027,6.91,0,http://www.openphacts.org/units/Nanomolar,927944,=,1,1,=,,IC50,nM,,124.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,124.0
,3376613,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '12.21', 'le': '0.24', 'lle': '1.02', 'sei': '8.88'}",CHEMBL1210027,,CHEMBL1210027,5.50,0,http://www.openphacts.org/units/Nanomolar,927945,=,1,1,=,,IC50,nM,,3197.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,3197.0
,3376618,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2cccc(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.59', 'le': '0.27', 'lle': '1.06', 'sei': '11.06'}",CHEMBL1210899,,CHEMBL1210899,7.20,0,http://www.openphacts.org/units/Nanomolar,928970,=,1,1,=,,IC50,nM,,63.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,63.0
,3376619,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3ccc(Cl)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '14.40', 'le': '0.29', 'lle': '1.37', 'sei': '10.98'}",CHEMBL1210900,,CHEMBL1210900,7.15,0,http://www.openphacts.org/units/Nanomolar,928971,=,1,1,=,,IC50,nM,,71.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,71.0
,3377324,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(Cl)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.76', 'le': '0.28', 'lle': '1.16', 'sei': '10.87'}",CHEMBL1210901,,CHEMBL1210901,7.08,0,http://www.openphacts.org/units/Nanomolar,928972,=,1,1,=,,IC50,nM,,84.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,84.0
,3377325,[],CHEMBL1212332,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '12.73', 'le': '0.25', 'lle': '0.69', 'sei': '10.71'}",CHEMBL1210902,,CHEMBL1210902,6.97,0,http://www.openphacts.org/units/Nanomolar,929069,=,1,1,=,,IC50,nM,,106.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,106.0
,3377326,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '15.14', 'le': '0.30', 'lle': '2.68', 'sei': '10.32'}",CHEMBL1210136,,CHEMBL1210136,6.39,0,http://www.openphacts.org/units/Nanomolar,928021,=,1,1,=,,IC50,nM,,410.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,410.0
,3377327,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '16.43', 'le': '0.33', 'lle': '1.75', 'sei': '18.75'}",CHEMBL1210137,,CHEMBL1210137,6.67,0,http://www.openphacts.org/units/Nanomolar,928022,=,1,1,=,,IC50,nM,,214.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,214.0
,3377328,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(C)C2c1ccc(Cl)cc1)C(=O)OC,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '13.99', 'le': '0.28', 'lle': '2.87', 'sei': '7.72'}",CHEMBL1210138,,CHEMBL1210138,6.10,0,http://www.openphacts.org/units/Nanomolar,928023,=,1,1,=,,IC50,nM,,800.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,800.0
,3377329,[],CHEMBL1212315,Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN1C(=O)C2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,,,CHEMBL1208707,Bioorg Med Chem Lett,2010.0,"{'bei': '14.38', 'le': '0.28', 'lle': '1.59', 'sei': '11.46'}",CHEMBL1210139,,CHEMBL1210139,6.04,0,http://www.openphacts.org/units/Nanomolar,928024,=,1,1,=,,IC50,nM,,920.0,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit,9606,,,IC50,nM,UO_0000065,,920.0
